Original Header:
Sensor Name: MAX30100
Cow ID: 129
I2CAddress: 0x57
Sampling frequency: 25 Hz
Data Format: 
	IR_0, RED_0, T_0, t0
	IR_1, RED_1, T_1, t1
	...
	...
	...
	IR_n, RED_n, T_n, tn
	Where IR is the MAX30100's infared count expressed as an unsigned short. (16-bit) RED is the MAX30100's RED count expressed as an unsigned short. T is the MAX30100's temperature expressed as a 32-bit float. The value is in degrees C. t is the time that the data point was taken in seconds, from the epoch. It is a double precision float. (64-bit) Each data point consists of this 3 value plus a timestamp, sequentially written to file. 
!@#

CSV Header:
The time is in seconds, subtracting off the startTime.
!@#
7300, 8240, 26.6, 14.560119
7272, 8224, 26.4, 14.605377
7248, 8172, 26.4, 14.640045
7264, 8232, 26.4, 14.680176
7260, 8188, 26.4, 14.720062
7304, 8244, 26.4, 14.760071
7236, 8172, 26.4, 14.800201
7300, 8228, 26.4, 14.841186
7256, 8184, 26.4, 14.880066
7292, 8236, 26.4, 14.920074
7268, 8216, 26.4, 14.960113
7244, 8188, 26.4, 15.000000
7296, 8232, 26.4, 15.040008
7272, 8208, 26.4, 15.080139
7252, 8168, 26.4, 15.120147
7304, 8240, 26.4, 15.160003
7256, 8220, 26.4, 15.200042
7240, 8148, 26.4, 15.240112
7300, 8248, 26.4, 15.280090
7248, 8168, 26.4, 15.320129
7272, 8200, 26.4, 15.360046
7288, 8244, 26.4, 15.400085
7220, 8152, 26.4, 15.440063
7296, 8236, 26.4, 15.480163
7272, 8236, 26.4, 15.520080
7220, 8164, 26.4, 15.560028
7300, 8240, 26.5, 15.605530
7276, 8228, 26.5, 15.640075
7240, 8184, 26.5, 15.680053
7280, 8220, 26.5, 15.720276
7248, 8204, 26.5, 15.760101
7252, 8196, 26.5, 15.800018
7284, 8216, 26.5, 15.841034
7280, 8228, 26.5, 15.880035
7240, 8160, 26.5, 15.920135
7312, 8256, 26.5, 15.960266
7252, 8192, 26.5, 16.000000
7252, 8184, 26.5, 16.040008
7312, 8256, 26.5, 16.080047
7232, 8184, 26.5, 16.119995
7268, 8212, 26.5, 16.160003
7304, 8240, 26.5, 16.200226
7228, 8180, 26.5, 16.240051
7272, 8216, 26.5, 16.280090
7264, 8212, 26.5, 16.320251
7264, 8200, 26.5, 16.360138
7272, 8216, 26.5, 16.400055
7248, 8200, 26.5, 16.440155
7264, 8200, 26.5, 16.480011
7280, 8200, 26.5, 16.520172
7260, 8216, 26.5, 16.560302
7260, 8204, 26.0, 16.605530
7260, 8216, 26.0, 16.640136
7280, 8216, 26.0, 16.679962
7252, 8212, 26.0, 16.720031
7268, 8196, 26.0, 16.760101
7292, 8220, 26.0, 16.800140
7260, 8208, 26.0, 16.840881
7260, 8208, 26.0, 16.880066
7276, 8200, 26.0, 16.920105
7268, 8220, 26.0, 16.960113
7272, 8196, 26.0, 17.000030
7268, 8212, 26.0, 17.040283
7288, 8200, 26.0, 17.080017
7284, 8212, 26.0, 17.120025
7276, 8216, 26.0, 17.160034
7256, 8192, 26.0, 17.199981
7276, 8204, 26.0, 17.240020
7260, 8220, 26.0, 17.280029
7252, 8184, 26.0, 17.320068
7276, 8208, 26.0, 17.360046
7280, 8228, 26.0, 17.400146
7248, 8200, 26.0, 17.440094
7272, 8208, 26.0, 17.480163
7284, 8220, 26.0, 17.520141
7268, 8216, 26.0, 17.560089
7268, 8204, 26.2, 17.605530
7272, 8212, 26.2, 17.639953
7280, 8208, 26.2, 17.680023
7256, 8216, 26.2, 17.720245
7260, 8204, 26.2, 17.760009
7276, 8212, 26.2, 17.800018
7284, 8220, 26.2, 17.840210
7260, 8188, 26.2, 17.880371
7280, 8208, 26.2, 17.920105
7284, 8208, 26.2, 17.960052
7256, 8212, 26.2, 18.000091
7268, 8200, 26.2, 18.040100
7272, 8200, 26.2, 18.080200
7264, 8212, 26.2, 18.119964
7264, 8196, 26.2, 18.160095
7272, 8212, 26.2, 18.200195
7256, 8212, 26.2, 18.239959
7260, 8204, 26.2, 18.280029
7264, 8200, 26.2, 18.320221
7272, 8208, 26.2, 18.360199
7272, 8212, 26.2, 18.400116
