Original Header:

Name: AdcIn_Ch5
This is using channel 5 on the onboard ADC.
The first value is a voltage in mV, and the second value is a time in seconds from epoch.
!@#

CSV Header:

The voltages are now in volts.
The time is in seconds, subtracting off the startTime.
!@#
0.058, 14.709748
0.063, 14.726319
0.063, 14.743226
0.073, 14.759674
0.075, 14.776215
0.075, 14.793366
0.073, 14.809754
0.063, 14.826447
0.073, 14.843232
0.061, 14.859711
0.083, 14.876374
0.073, 14.893189
0.061, 14.909577
0.078, 14.926423
0.065, 14.943146
0.073, 14.959778
0.068, 14.976502
0.073, 14.993317
0.073, 15.009674
0.070, 15.026246
0.056, 15.043335
0.061, 15.059754
0.075, 15.076386
0.078, 15.093232
0.065, 15.109772
0.056, 15.126526
0.061, 15.143219
0.068, 15.159668
0.061, 15.196625
0.070, 15.198365
0.073, 15.210419
0.070, 15.226380
0.068, 15.243256
0.075, 15.259613
0.068, 15.276307
0.065, 15.293457
0.065, 15.309723
0.070, 15.326477
0.063, 15.343201
0.068, 15.359711
0.073, 15.376404
0.065, 15.393250
0.075, 15.409668
0.070, 15.426453
0.068, 15.443451
0.080, 15.459687
0.070, 15.476349
0.075, 15.493226
0.070, 15.509644
0.063, 15.526276
0.087, 15.543335
0.070, 15.559632
0.053, 15.576447
0.063, 15.593201
0.070, 15.609772
0.068, 15.626435
0.068, 15.643311
0.078, 15.659882
0.065, 15.676331
0.075, 15.693360
0.063, 15.709626
0.075, 15.726532
0.075, 15.743287
0.070, 15.759613
0.085, 15.776429
0.068, 15.793152
0.075, 15.809784
0.068, 15.826416
0.068, 15.843354
0.073, 15.859681
0.061, 15.876343
0.073, 15.893189
0.075, 15.909638
0.083, 15.926545
0.063, 15.943329
0.063, 15.959656
0.056, 15.976502
0.061, 15.993226
0.078, 16.009583
0.068, 16.026368
0.073, 16.043305
0.075, 16.059571
0.063, 16.076477
0.065, 16.093171
0.070, 16.109650
0.053, 16.126374
0.068, 16.143250
0.065, 16.159760
0.053, 16.176453
0.061, 16.193207
0.075, 16.209839
0.078, 16.226349
0.068, 16.243195
0.070, 16.259797
0.061, 16.276368
0.070, 16.293183
0.068, 16.309754
0.083, 16.326569
0.073, 16.343262
0.061, 16.359742
0.090, 16.376465
0.065, 16.393250
0.080, 16.409760
0.073, 16.426331
0.068, 16.443268
0.085, 16.459778
0.061, 16.476410
0.068, 16.493256
0.070, 16.509674
0.068, 16.526551
0.073, 16.543213
0.063, 16.559784
0.075, 16.576508
0.061, 16.593201
0.068, 16.609620
0.073, 16.626282
0.065, 16.643280
0.075, 16.659851
0.063, 16.676300
0.070, 16.693207
0.073, 16.709748
0.046, 16.726349
0.073, 16.743164
0.061, 16.759613
0.080, 16.776490
0.070, 16.793152
0.080, 16.809693
0.073, 16.826294
0.061, 16.843262
0.080, 16.859559
0.061, 16.876282
0.068, 16.893158
0.068, 16.909546
0.073, 16.926606
0.070, 16.943268
0.063, 16.959748
0.075, 16.976563
0.063, 16.993134
0.080, 17.009736
0.070, 17.026185
0.068, 17.043152
0.073, 17.059845
0.063, 17.076386
0.068, 17.093110
0.068, 17.109589
0.051, 17.126465
0.075, 17.143189
0.061, 17.159638
0.051, 17.176514
0.070, 17.193207
0.070, 17.209809
0.068, 17.226288
0.068, 17.243287
0.073, 17.259797
0.065, 17.276276
0.073, 17.293213
0.068, 17.309632
0.073, 17.326416
0.068, 17.343201
0.058, 17.359742
0.058, 17.376374
0.075, 17.393158
0.070, 17.409729
0.078, 17.426239
0.061, 17.443665
0.075, 17.459870
0.068, 17.476319
0.068, 17.493103
0.070, 17.509705
0.065, 17.526337
0.073, 17.543122
0.070, 17.559723
0.051, 17.576325
0.058, 17.593201
0.073, 17.609742
0.073, 17.626191
0.068, 17.643097
0.075, 17.659729
0.063, 17.676453
0.075, 17.693146
0.061, 17.709717
0.056, 17.726380
0.070, 17.743317
0.065, 17.759674
0.085, 17.776520
0.063, 17.793152
0.078, 17.809662
0.075, 17.826294
0.073, 17.843171
0.075, 17.859711
0.068, 17.876252
0.070, 17.893128
0.065, 17.909546
0.075, 17.926453
0.070, 17.943238
0.065, 17.959656
0.070, 17.976288
0.068, 17.993226
0.070, 18.009797
0.063, 18.026337
0.061, 18.043274
0.068, 18.059754
0.065, 18.076386
0.068, 18.093140
0.068, 18.109711
0.073, 18.126282
0.065, 18.143219
0.061, 18.159668
0.073, 18.176331
0.065, 18.193238
0.073, 18.209778
0.075, 18.226410
0.065, 18.243256
0.073, 18.259644
0.068, 18.276276
0.073, 18.293183
0.063, 18.309632
0.080, 18.326447
0.078, 18.343262
0.065, 18.359681
0.075, 18.376465
0.075, 18.393189
0.078, 18.409790
0.073, 18.426453
0.068, 18.443299
0.078, 18.459717
0.068, 18.476288
0.073, 18.493164
0.070, 18.509552
0.070, 18.526368
0.078, 18.543091
0.065, 18.559571
0.070, 18.576233
0.065, 18.593171
0.073, 18.609681
0.073, 18.626404
0.063, 18.643250
0.080, 18.659790
0.068, 18.676423
0.078, 18.693116
0.070, 18.709534
0.048, 18.726349
0.070, 18.743226
0.068, 18.759705
0.078, 18.776459
0.065, 18.793183
0.078, 18.809815
0.075, 18.826355
0.063, 18.843171
0.070, 18.859559
0.058, 18.876404
0.073, 18.893097
0.068, 18.909607
0.070, 18.926545
0.068, 18.943299
0.065, 18.959656
0.043, 18.976349
0.065, 18.993164
0.075, 19.009552
0.068, 19.026459
0.063, 19.043793
0.078, 19.059815
0.070, 19.076325
0.070, 19.093140
0.065, 19.109559
0.087, 19.126496
0.065, 19.143280
0.063, 19.159638
0.065, 19.176484
0.065, 19.193177
0.070, 19.209565
0.073, 19.226471
0.070, 19.243164
0.070, 19.259705
0.065, 19.276276
0.073, 19.293122
0.073, 19.309754
0.051, 19.326386
0.078, 19.343201
0.065, 19.359681
0.053, 19.376374
0.073, 19.393158
0.075, 19.409577
0.080, 19.426331
0.070, 19.443421
0.075, 19.459778
0.063, 19.476258
0.073, 19.493226
0.061, 19.509552
0.080, 19.526398
0.068, 19.543366
0.063, 19.559632
0.070, 19.576264
0.065, 19.593201
0.080, 19.609589
0.070, 19.626282
0.075, 19.643341
0.051, 19.659729
0.070, 19.676300
0.065, 19.693146
0.070, 19.709595
0.068, 19.726380
0.065, 19.743195
0.065, 19.759736
0.078, 19.776215
0.058, 19.793274
0.078, 19.809784
0.065, 19.826203
0.063, 19.843201
0.070, 19.859589
0.065, 19.876404
0.073, 19.893128
0.065, 19.909577
0.075, 19.926331
0.070, 19.943299
0.065, 19.959748
0.070, 19.976227
0.061, 19.993164
0.073, 20.009552
0.065, 20.026276
0.063, 20.043366
0.073, 20.059601
0.068, 20.076447
0.068, 20.093171
0.073, 20.109742
0.083, 20.126465
0.063, 20.143189
0.063, 20.160004
0.065, 20.186188
0.061, 20.193207
0.058, 20.209717
0.061, 20.226563
0.068, 20.243164
0.068, 20.259858
0.063, 20.276429
0.065, 20.293091
0.065, 20.309601
0.068, 20.326294
0.048, 20.343262
0.073, 20.359711
0.068, 20.376557
0.068, 20.393189
0.073, 20.409821
0.075, 20.426423
0.065, 20.443268
0.075, 20.459900
0.068, 20.476349
0.073, 20.493103
0.073, 20.509613
0.073, 20.526429
0.073, 20.543213
0.073, 20.559723
0.073, 20.576233
0.063, 20.593140
0.080, 20.609803
0.070, 20.626282
0.063, 20.643097
0.075, 20.659729
0.068, 20.676270
0.068, 20.693177
0.070, 20.709717
0.075, 20.726471
0.073, 20.743164
0.065, 20.759644
0.075, 20.776398
0.061, 20.793305
0.083, 20.809845
0.073, 20.826355
0.070, 20.843232
0.085, 20.859894
0.070, 20.876435
0.078, 20.893067
0.063, 20.909607
0.075, 20.926331
0.070, 20.943146
