Original Header:

Sensor Name: MCP9808_N2
Cow ID: 129
I2CAddress: 0x19
Sampling frequency: 1 Hz
Data Format: 
	T_0, t0
	T_1, t1
	...
	...
	...
	T_n, tn
	Where T is the temperature in single precision float format (32-bit). t is the time that the data point was taken in seconds, from the epoch. It is a double precision float. (64-bit) Each data point consists of a temperature and a timestamp, sequentially written to file. !@#

CSV Header:

The time is in seconds, subtracting off the startTime.
!@#
22.625, 688.004883
22.625, 688.991668
22.625, 689.991974
22.688, 690.991699
22.688, 691.991607
22.625, 692.991546
22.625, 693.991363
22.688, 694.991333
22.625, 695.991516
22.625, 696.991516
22.562, 697.991607
22.625, 698.991333
22.625, 699.991424
22.625, 700.991333
22.562, 701.991333
22.500, 702.991577
22.438, 703.991607
22.438, 704.991760
22.500, 705.991607
22.500, 706.991882
22.438, 707.991424
22.438, 708.991577
22.500, 709.991577
22.438, 710.991516
22.438, 711.991577
22.438, 712.991607
22.438, 713.991607
22.500, 714.991577
22.500, 715.991638
22.438, 716.991546
22.438, 717.991638
22.438, 718.991607
22.438, 719.991455
22.438, 720.991485
22.500, 721.991394
22.438, 722.991577
22.500, 723.991424
22.500, 724.991943
22.438, 725.991577
22.438, 726.991607
22.500, 727.991546
22.438, 728.991546
22.500, 729.991577
22.438, 730.991455
22.438, 731.991607
22.500, 732.991485
22.438, 734.013061
22.438, 735.013153
22.438, 736.012970
22.438, 737.012665
22.438, 738.012359
22.438, 739.017608
22.438, 740.017273
22.375, 741.015991
22.438, 742.016815
22.438, 743.017761
22.438, 744.016723
22.438, 745.016632
22.375, 746.016937
22.438, 747.016266
22.438, 748.016266
22.438, 748.991577
22.438, 749.991516
22.500, 750.991760
22.500, 751.991455
22.500, 752.991699
22.438, 753.991394
22.438, 754.991485
22.500, 755.991729
22.500, 756.991577
22.500, 757.991546
22.438, 758.991455
22.500, 759.991424
22.500, 760.991485
22.500, 761.991424
22.500, 762.991516
22.438, 763.991363
22.500, 764.991394
22.438, 765.991577
22.500, 766.991455
22.500, 767.991394
22.500, 768.991516
22.500, 769.992096
22.500, 770.992096
22.500, 771.992004
22.500, 772.991943
22.500, 773.992065
22.562, 774.991974
22.500, 775.992004
22.500, 776.992126
22.562, 777.991913
22.438, 779.004425
22.562, 780.005554
22.500, 781.005981
22.500, 782.004516
22.500, 783.006103
22.500, 783.998932
22.562, 784.999084
22.562, 785.998596
22.562, 786.998474
22.562, 787.998932
22.500, 788.998901
22.562, 789.998810
22.562, 790.998596
22.562, 791.999054
22.562, 792.998871
22.625, 793.992126
22.625, 794.992309
22.562, 795.992218
22.562, 796.991913
22.562, 797.992096
22.562, 799.011963
22.562, 800.011169
22.562, 801.010589
22.625, 802.011780
22.562, 803.012512
22.625, 803.996124
22.625, 804.996582
22.625, 805.996307
22.625, 806.996185
22.625, 807.996460
22.625, 809.010772
22.625, 810.011596
22.625, 811.011688
22.688, 812.011627
22.688, 813.011902
22.625, 813.993774
22.625, 814.993408
22.688, 815.993774
22.625, 816.993072
22.688, 817.993469
22.625, 819.005829
22.688, 820.005737
22.688, 821.006897
22.688, 822.005249
22.688, 823.005157
22.625, 824.007049
22.688, 825.004608
22.688, 826.004669
22.750, 827.005127
22.688, 828.004547
22.750, 828.993286
22.750, 829.993377
22.750, 830.993347
22.688, 831.993499
22.688, 832.993072
22.750, 833.998504
22.750, 834.998565
22.750, 835.998901
22.750, 836.998504
