volt, time
0.549, 1468260567.744537
0.569, 1468260567.747131
0.549, 1468260567.751129
0.576, 1468260567.754119
0.569, 1468260567.756042
0.564, 1468260567.757659
0.544, 1468260567.759216
0.544, 1468260567.760742
0.540, 1468260567.762268
0.530, 1468260567.763793
0.532, 1468260567.767303
0.527, 1468260567.769744
0.540, 1468260567.771545
0.559, 1468260567.773834
0.549, 1468260567.777099
0.544, 1468260567.779449
0.532, 1468260567.781768
0.564, 1468260567.785491
0.584, 1468260567.788909
0.571, 1468260567.791748
0.569, 1468260567.793395
0.559, 1468260567.796630
0.566, 1468260567.798339
0.554, 1468260567.799957
0.552, 1468260567.801513
0.535, 1468260567.803039
0.532, 1468260567.807159
0.547, 1468260567.809600
0.549, 1468260567.811401
0.569, 1468260567.813720
0.549, 1468260567.816955
0.537, 1468260567.819305
0.569, 1468260567.821655
0.552, 1468260567.825408
0.576, 1468260567.828918
0.576, 1468260567.830627
0.557, 1468260567.832214
0.542, 1468260567.833770
0.540, 1468260567.835540
0.532, 1468260567.837097
0.537, 1468260567.838653
0.535, 1468260567.840179
0.532, 1468260567.841705
0.535, 1468260567.843200
0.535, 1468260567.844726
0.549, 1468260567.848480
0.530, 1468260567.850830
0.527, 1468260567.853210
0.557, 1468260567.856506
0.544, 1468260567.858886
0.547, 1468260567.861267
0.537, 1468260567.864349
0.576, 1468260567.867706
0.581, 1468260567.870361
0.564, 1468260567.872009
0.554, 1468260567.873565
0.542, 1468260567.875366
0.547, 1468260567.876953
0.542, 1468260567.878479
0.540, 1468260567.880035
0.535, 1468260567.881530
0.532, 1468260567.883056
0.522, 1468260567.885925
0.530, 1468260567.888854
0.564, 1468260567.891296
0.547, 1468260567.893585
0.566, 1468260567.896850
0.569, 1468260567.899230
0.569, 1468260567.901550
0.544, 1468260567.905242
0.579, 1468260567.908691
0.581, 1468260567.910369
0.562, 1468260567.911956
0.557, 1468260567.913513
0.535, 1468260567.915313
0.535, 1468260567.916900
0.532, 1468260567.918457
0.532, 1468260567.921356
0.559, 1468260567.923065
0.547, 1468260567.925659
0.537, 1468260567.928649
0.569, 1468260567.930999
0.540, 1468260567.933349
0.564, 1468260567.936614
0.542, 1468260567.938964
0.569, 1468260567.941314
0.562, 1468260567.944732
0.584, 1468260567.948516
0.581, 1468260567.950225
0.554, 1468260567.951812
0.552, 1468260567.953369
0.537, 1468260567.955169
0.544, 1468260567.956756
0.537, 1468260567.958282
0.542, 1468260567.959808
0.540, 1468260567.961364
0.535, 1468260567.962860
0.532, 1468260567.965332
0.547, 1468260567.968414
0.557, 1468260567.970794
0.562, 1468260567.973114
0.532, 1468260567.976440
0.557, 1468260567.978729
0.574, 1468260567.981109
0.559, 1468260567.984222
0.547, 1468260567.988311
0.579, 1468260567.990020
0.569, 1468260567.991699
0.557, 1468260567.993255
0.542, 1468260567.995056
0.552, 1468260567.996643
0.540, 1468260567.998168
0.537, 1468260567.999725
0.522, 1468260568.001251
0.535, 1468260568.002746
0.525, 1468260568.005279
0.562, 1468260568.008422
0.535, 1468260568.010772
0.532, 1468260568.013122
0.544, 1468260568.016418
0.542, 1468260568.018798
0.571, 1468260568.021148
0.549, 1468260568.024291
